test_ops_xpu.py|_jiterator_ | Jiterator is only supported on CUDA and ROCm GPUs, none are available.; https://github.com/intel/torch-xpu-ops/issues/584
test_ops_xpu.py|test_errors_dot_xpu | OPs not supported
test_ops_xpu.py|test_errors_vdot_xpu | OPs not supported
test_ops_xpu.py|test_dtypes__refs_nn_functional_pdist_xpu | core dump
test_ops_xpu.py|test_python_ref_executor__refs_pow_executor_aten_xpu_complex32 | Reference result was farther (inf) from the precise; computation than the torch result was (nan)!
test_ops_xpu.py|test_python_ref_executor__refs_mul_executor_aten_xpu_complex32 | Reference result was farther (inf) from the precise; computation than the torch result was (nan)!
test_ops_xpu.py|histogramdd | https://github.com/intel/torch-xpu-ops/issues/2254
test_ops_xpu.py|_vdot_ | https://github.com/intel/torch-xpu-ops/issues/2254
test_ops_xpu.py|_dot_ | https://github.com/intel/torch-xpu-ops/issues/2254
test_ops_xpu.py|_flash_attention_ | https://github.com/intel/torch-xpu-ops/issues/2254
test_ops_xpu.py|_efficient_attention_ | https://github.com/intel/torch-xpu-ops/issues/2254
test_binary_ufuncs_xpu.py|test_fmod_remainder_by_zero_integral_xpu_int64 | zero division is an undefined behavior: different handles on different backends
test_binary_ufuncs_xpu.py|test_div_rounding_numpy_xpu_float16 | Calculation error. XPU implementation uses opmath type.
test_binary_ufuncs_xpu.py|_jiterator_ | AssertionError: Jiterator is only supported on CUDA and ROCm GPUs, none are available.
test_scatter_gather_ops_xpu.py|test_scatter_reduce_mean_xpu_float64 | AssertionError: Tensor-likes are not equal!; Mismatched elements: 2 / 1870 (0.1%); Greatest absolute difference: 2.220446049250313e-16 at index (14, 9, 4); Greatest relative difference: 1.7039539596977877e-16 at index (15, 7, 6)
test_sort_and_select_xpu.py|test_sort_large_slice_xpu | No reason provided
nn/test_embedding_xpu.py|test_embedding_bag_out_of_bounds_idx_padding_idx0_mode_max_xpu_float32_int32 | CUDA implementation has no such functionality due to performance consideration.; skipped by CUDA for performance; @skipCUDAIf(True, "no out-of-bounds check on CUDA for perf.")
